source,target,full_text,normal_text,stemm_text,sentiment
@gagitujugakeles,@Sidqi_Kisaragi,"@Sidqi_Kisaragi @avenooresa Tapi gua ragu jika semuanya diawali dengan seseorang yg makan bareng prabowo di tahun 2023. Dan satu lagi jokowisme, trus sekarang nyari duit jualan ide tan malaka lewat subscriber",tapi gua ragu jika semuanya diawali dengan seseorang yang makan bareng prabowo di tahun dan satu lagi jokowisme terus sekarang mencari duit jualan ide tan malaka lewat subscriber,gua ragu awal makan bareng prabowo jokowisme cari duit jual ide tan malaka subscriber,negative
@jonmamau,@AnKiiim_,"@AnKiiim_ @prabowo Lap keuangan indo itu kusut gara2 orang bank satu itu, apalagi 10 tahun terakhir, trus kalau dia mundur kebuka kotak Pandora, bowo takut MBG nya ngak jalan.. mungkin bowo memeperhitungkan itu, tapi tanpa laporan keuangan negara yg Prudence, ekonomi indo sulit tumbuh.",lap keuangan indonesia itu kusut gara orang bank satu itu apalagi tahun terakhir terus kalau dia mundur kebuka kotak pandora bowo takut mbg nya enggak jalan mungkin bowo memeperhitungkan itu tapi tanpa laporan keuangan negara yang prudence ekonomi indonesia sulit tumbuh,lap uang indonesia kusut gara orang bank mundur buka kotak pandora bowo takut mbg jalan bowo hitung lapor uang negara prudence ekonomi indonesia sulit tumbuh,negative
@Daendels_DC,@amo_bolang,"@amo_bolang @Krn40197 @ARSIPAJA ""Salah satu penyebab korupsi sulit diberantas karena tidak adanya sikap tegas dalam pemberantasan korupsi sejak Presiden ke-7 RI Joko Widodo hingga Presiden Prabowo Subianto""  https://t.co/OfyWrX2y9P  Karna ini sdh masuk di tuntutan 8, tunggu tahun depan aja komitmen Prabowo gmn",salah satu penyebab korupsi sulit diberantas karena tidak adanya sikap tegas dalam pemberantasan korupsi sejak presiden ke ri joko widodo hingga presiden prabowo subianto karena ini sudah masuk di tuntutan tunggu tahun depan saja komitmen prabowo bagaimana,salah sebab korupsi sulit berantas sikap berantas korupsi presiden ri joko widodo presiden prabowo subianto masuk tuntut tunggu komitmen prabowo,negative
@azstilllearning,@myshawti,@myshawti Prabowo presiden terbaik indonesia (((yang dilantik di tahun 2024)))   Jelaslah soalnya th 2024 kita emg cuma ngelantik satu presiden😭😭gaada kompetisi,prabowo presiden terbaik indonesia yang dilantik di tahun jelaslah soalnya tahu kita memang cuma ngelantik satu presiden enggak ada kompetisi,prabowo presiden baik indonesia lantik ngelantik presiden kompetisi,neutral
@NewsFlash09,@unilubis,@unilubis @NajwaShihab @prabowo @IDNTimes Sahin perampasan aset aja dulu. Kebanyakan 17+8 satu aja puluhan tahun gak kelar 😁,sahin perampasan aset saja dulu kebanyakan satu saja puluhan tahun enggak kelar,sahin ampas aset banyak puluh kelar,negative
@SyahlanLan10451,@alisyarief,"@alisyarief Jangan berharap banyak pada Prabowo, meski sudah mampir satu tahun menjabat belum tampak hasil untuk perubahan dan perbaikan ekonomi rakyat, kecuali pidato berapi-api dan gebrak-gebrak meja doang,🤣🤣🤣",jangan berharap banyak pada prabowo meski sudah mampir satu tahun menjabat belum tampak hasil untuk perubahan dan perbaikan ekonomi rakyat kecuali pidato berapi api dan gebrak gebrak meja doang,harap prabowo mampir jabat hasil ubah baik ekonomi rakyat kecuali pidato rap api gebrak gebrak meja doang,negative
@JanuarAnni63084,@thewayloved_u,"@thewayloved_u Bisa jadi @prabowo jadi agama baru mereka. Buat voter 02 yang Muslim, bisa aja mereka menyamakan Allah dengan Wowo. Kayak tahun kemarin salah satu pendukung Wowo yang hampir sekarat di rumah sakit bukannya baca ""Lailahaillallah"" malah ""Hidup Pak Prabowo"". Gile tuh orang!",bisa jadi jadi agama baru mereka buat voter yang muslim bisa saja mereka menyamakan allah dengan wowo kayak tahun kemarin salah satu pendukung wowo yang hampir sekarat di rumah sakit bukannya baca lailahaillallah malah hidup pak prabowo gila tuh orang,agama voter muslim sama allah wowo kayak kemarin salah dukung wowo sekarat rumah sakit baca lailahaillallah hidup prabowo gila orang,negative
@bonjourbeb,@yesmar_banu,"@yesmar_banu @heruyaheru Prabowo dan syariah di satu sentences aja udah ngakak, itu duitnya gede makanya ladang basah, kalo misal pilgirm ke jerusalem sebanyak haji jg pasti dibikinin begini buat ladang duit , liat aja tiap tahun ada kasus korupsi uang haji .",prabowo dan syariah di satu sentences saja sudah mengakak itu duitnya gede makanya ladang basah kalo misal pilgirm ke jerusalem sebanyak haji juga pasti dibikinin begini buat ladang duit lihat saja tiap tahun ada kasus korupsi uang haji,prabowo syariah sentences akak duit gede ladang basah kalo pilgirm jerusalem haji dibikinin ladang duit lihat korupsi uang haji,negative
@Kinkin18051341,@ike_hw71,@ike_hw71 @prabowo @DPR_RI Siaga satu level tertinggi mengurus celotehan warung kopi sementara membiarkan tikus Tiongkok yang bebas mencuri wilayah RI serta tambang emas dll puluhan ribu trilyun rupiah per tahun selama sepuluh tahun terakhir berlanjut hingga akhir jaman tanpa pajak,siaga satu level tertinggi mengurus celotehan warung kopi sementara membiarkan tikus tiongkok yang bebas mencuri wilayah ri serta tambang emas dll puluhan ribu trilyun rupiah per tahun selama sepuluh tahun terakhir berlanjut hingga akhir jaman tanpa pajak,siaga level tinggi urus celoteh warung kopi biar tikus tiongkok bebas curi wilayah ri tambang emas dll puluh ribu trilyun rupiah puluh lanjut jaman pajak,negative
@ChriestyanK,@PartaiGuremm,"@PartaiGuremm @kompascom @prabowo Apa yang Anda bicarakan itu terjadi bertahun-tahun sebelum Pak Prabowo menjadi Presiden Indonesia. Sekarang, Pak Prabowo sedang bersih-bersih. Mafia dan koruptor lagi dibersihkan satu per satu.",apa yang anda bicarakan itu terjadi bertahun tahun sebelum pak prabowo menjadi presiden indonesia sekarang pak prabowo sedang bersih bersih mafia dan koruptor lagi dibersihkan satu per satu,bicara tahun prabowo presiden indonesia prabowo bersih bersih mafia koruptor bersih,negative
@BudiSan75825121,@txtdrimedia,"@txtdrimedia Pak presiden @prabowo , bapak aing @DediMulyadi71 satu kelas 50 orang pak, mending duit buatnya  nambahin kelas, yh biar tahun depan ngk 50 orang lagi   .",pak presiden bapak aing satu kelas orang pak mending duit buatnya nambahin kelas ya biar tahun depan enggak orang lagi,presiden aing kelas orang mending duit buat nambahin kelas biar orang,negative
@putrapetir_007,@KaredokLeunca__,"@KaredokLeunca__ @prabowo Salah satu yang wajib direformasi, siatem pendidikan di rekrutmen bintara, kalo perlu 1 tahun, ijazah D1, modul ajarnya juga direformasi.",salah satu yang wajib direformasi siatem pendidikan di rekrutmen bintara kalo perlu tahun ijazah di modul ajarnya juga direformasi,salah wajib reformasi siatem didik rekrutmen bintara kalo ijazah modul ajar reformasi,neutral
@Matt_Dandin,@BANGSAygSUJUD,"@BANGSAygSUJUD @prabowo @99propaganda @are_inismyname @KhoirilAnwar_ @IrawanRommi @Intel_Imut @gustavssondhela @G0LIATH87 @florieliciouss @FDonghun @Ndons_Back Dia pasti punya catatan nama pejabat yang pernah ""dibeli"", mirip al Capone di tahun 1920 an, makanya polisi, jaksa, hakim tidak berani nangkep mafioso satu ini...",dia pasti punya catatan nama pejabat yang pernah dibeli mirip al capone di tahun an makanya polisi jaksa hakim tidak berani nangkep mafioso satu ini,catat nama jabat beli al capone an polisi jaksa hakim berani nangkep mafioso,negative
@AlmaghribiS,@are_inismyname,@are_inismyname @AndreasSolusi @azissubekti @arum_melasari @BANGSAygSUJUD @DedynurPalakka @djalanjoeang08 @FDonghun @Ndons_Back @Kimberley_PS08 Insyaallah Indonesia jaya.. Namun memang harus diakui bahwa membenahi sesuatu hal yg berantakan memang butuh kesabaran bahkan pengorbanan.  Bukankah sdh kita lihat rezim Prabowo dlm satu tahun ini telah menangkap 80 koruptor.. Artinya ada yg salah dlm sistem bernegara sebelum nya,insyaallah indonesia jaya namun memang harus diakui bahwa membenahi sesuatu hal yang berantakan memang butuh kesabaran bahkan pengorbanan bukankah sudah kita lihat rezim prabowo dalam satu tahun ini telah menangkap koruptor artinya ada yang salah dalam sistem bernegara sebelum nya,insyaallah indonesia jaya aku benah beranta butuh sabar korban lihat rezim prabowo tangkap koruptor salah sistem negara,neutral
@aryindra10,@AntoniusCDN,@AntoniusCDN @CakKhum @islah_bahrawi @GunRomli @prabowo @Gerindra @e100ss @Anak__Ogi @Ary_PrasKe2 @ch_chotimah2 @DS_yantie itu beras gak mungkin umurnya satu tahun pasti lebih dari satu tahun.. kami di kampung gak perna beli beras impor masyarakat di kampung masih berladang  alhamdulilla berasnya lebih enak dari pada yg di impor,itu beras enggak mungkin umurnya satu tahun pasti lebih dari satu tahun kami di kampung enggak pernah beli beras impor masyarakat di kampung masih berladang alhamdulilla berasnya lebih enak dari pada yang di impor,beras umur kampung beli beras impor masyarakat kampung ladang alhamdulilla beras enak impor,positive
@howdare_u_f,@Anak__Ogi,@Anak__Ogi @Gerindra @prabowo rezim banyak klaim hasil nol tnggu beritanya koperasi tutup satu persatu karna pada g bayar utang ke koperasi kebijakan kok ktinggalan 20 tahun dri peradaban,rezim banyak klaim hasil nol tunggu beritanya koperasi tutup satu persatu karena pada enggak bayar utang ke koperasi kebijakan kok ktinggalan tahun dari peradaban,rezim klaim hasil nol tunggu berita koperasi tutup satu bayar utang koperasi bijak ktinggalan adab,negative
@nakhoda045,@AntoniusCDN,"@AntoniusCDN @Anak__Ogi @Ary_PrasKe2 @ch_chotimah2 @DS_yantie @islah_bahrawi @kenhans03 @KPK_RI @prabowo @golkarpedia @CakKhum Seorang PNS bisa dipecat jika bolos kerja secara terus-menerus selama 10 hari kerja atau jika akumulasi ketidakhadiran tanpa alasan yang sah mencapai 28 hari kerja atau lebih dalam satu tahun. Itu klo aturan kedisiplinan PNS, adakah yg bisa spill aturan kedisiplinan untuk Aleg ?",seorang pns bisa dipecat jika bolos kerja secara terus menerus selama hari kerja atau jika akumulasi ketidakhadiran tanpa alasan yang sah mencapai hari kerja atau lebih dalam satu tahun itu kalo aturan kedisiplinan pns adakah yang bisa spill aturan kedisiplinan untuk aleg,pns pecat bolos kerja terus kerja akumulasi ketidakhadiran alas sah capai kerja kalo atur disiplin pns ada spill atur disiplin aleg,negative
@Anevathee,@KompasTV,"@KompasTV Pak @prabowo harus berani &amp; serius utk bersih2 kabinetnya agar pemerintahannya berjalan baik. Satu tahun pemerintahannya masih gaduh, banyak sekali masalah yg tdk selesai2.  Pembantu2nya haruslah org yg punya komitmen penuh membantu presiden @prabowo  utk bangsa &amp; negara.",pak harus berani amp serius untuk bersih kabinetnya agar pemerintahannya berjalan baik satu tahun pemerintahannya masih gaduh banyak sekali masalah yang tidak selesai pembantunya haruslah orang yang punya komitmen penuh membantu presiden untuk bangsa amp negara,berani serius bersih kabinet perintah jalan perintah gaduh selesai bantu orang komitmen penuh bantu presiden bangsa negara,negative
@Crea_Teak,@OrdeBaroe,@OrdeBaroe @yusuf_dumdum @prabowo @Gerindra @YaqutCQoumas @Kemenag_RI @KPK_RI @KejaksaanRI Semua sama mainin kuota haji... yang satu jual yg satu beli.. setiap biro juga harusnya paham tiap tahun ada jml kuota tertentu yg dapat diambil..,semua sama mainin kuota haji yang satu jual yang satu beli setiap biro juga harusnya paham tiap tahun ada jml kuota tertentu yang dapat diambil,mainin kuota haji jual beli biro paham jml kuota ambil,neutral
@widyanidonk63,@DianSandiU,@DianSandiU @prabowo @gibran_tweet Sepertinya mbg cukup lah satu tahun saja.  Krn sdh berkali kali anak sekolah keracunann.. Dan hal lain spt masalah dana yg over budget yg juga masih belum valid.    Ekonomi akar rumput bukan dgn mbg.  Namun kasus koruptor yg dananya tidak pernah di bicarakan kemanana untuk apa..,sepertinya mbg cukup lah satu tahun saja karena sudah berkali kali anak sekolah keracunann dan hal lain seperti masalah dana yang over budget yang juga masih belum valid ekonomi akar rumput bukan dengan mbg namun kasus koruptor yang dananya tidak pernah di bicarakan kemanana untuk apa,mbg kali kali anak sekolah keracunann dana over budget valid ekonomi akar rumput mbg koruptor dana bicara kemanana,negative
@feisalpriyanto,@BebySoSweet,@BebySoSweet Satu persatu pembantu menteri presiden @prabowo menunjukan ketololan berfikir dan nir empati. Mau sisa 4 tahun diurus sama tikus2 parpol yg gak becus kerja. Nasib dasar nasib,satu persatu pembantu menteri presiden menunjukan ketololan berpikir dan nir empati mau sisa tahun diurus sama tikus parpol yang enggak becus kerja nasib dasar nasib,satu bantu menteri presiden tunjuk tolol pikir nir empati sisa urus tikus parpol becus kerja nasib dasar nasib,negative
@pbima8345,@narkosun,@narkosun Pak Prabowo jangan senang dulu dengan orang satu ini!apalagi perjalanan masih panjang 4 tahun lagi klo PDIP saja dipenghujung jalan ia khianati apalagi Prabowo!,pak prabowo jangan senang dulu dengan orang satu ini apalagi perjalanan masih panjang tahun lagi kalo pdip saja dipenghujung jalan ia khianati apalagi prabowo,prabowo senang orang jalan kalo pdip hujung jalan khianat prabowo,negative
@IndonesiaGulita,@ike_hw71,"@ike_hw71 @prabowo @DPR_RI Cara pelan habisin generasi muda Indonesia, next jln satu tahun tiba2 bnyk penerima MBG tiba2 metong",cara pelan habisin generasi muda indonesia next jalan satu tahun tiba banyak penerima mbg tiba metong,pelan habisin generasi muda indonesia next jalan terima mbg metong,negative
@RNaaliMaliki,@Tan_Mar3M,@Tan_Mar3M Belum  satu tahun saja sudah memberatkan pak presiden @prabowo  Manalagi beliauang yang bekerja sendirian dan di tambah lagi dengan wapres dan orang-orangnya  mengganggu program presiden Prabowo  We.... ngomong 2 periode lagi,belum satu tahun saja sudah memberatkan pak presiden manalagi beliauang yang bekerja sendirian dan di tambah lagi dengan wapres dan orang orangnya mengganggu program presiden prabowo we mengomong periode lagi,berat presiden beliauang wapres orang orang ganggu program presiden prabowo we omong periode,negative
@PutraAndal8235,@democrazymedia,@democrazymedia Nah gitu lawan tuh Jokowi blm satu tahun aja udh ribut dukung Prabowo gibran 2 periode,nah begitu lawan tuh jokowi belum satu tahun saja sudah ribut dukung prabowo gibran periode,lawan jokowi ribut dukung prabowo gibran periode,negative
@Didikjzie,@Urrangawak,"@Urrangawak @prabowo @Gerindra Itu yg sepuluh tahun bikin malu bangsa di kancah pergaulan internasional, bukannya tobat, malah masih ribet ngarepin dua periode anaknya yg bahkan satu periode aja gak layak. Belum puas jugakah merusak negeri ini wahai kamu yg disana itu?. Iya kamu, iya yg garuk-garuk itu…",itu yang sepuluh tahun bikin malu bangsa di kancah pergaulan internasional bukannya tobat malah masih ribet ngarepin dua periode anaknya yang bahkan satu periode saja enggak layak belum puas jugakah merusak negeri ini wahai kamu yang disana itu iya kamu iya yang garuk garuk itu,puluh bikin malu bangsa kancah gaul internasional tobat ribet ngarepin periode anak periode layak puas juga rusak negeri sana iya iya garuk garuk,negative
@AbiramaLunaa,@WorldWimWeb,"@WorldWimWeb @prabowo Biar aku breakdown semua satu persatu, cukup dengan menggunakan argumen kamu aja di komentar pertama.  1. Irasionalitas, bukan tanpa dasar aku bilang bahwa kamu pasti masih menggantungkan argumen kamu dengan sejarah '3000 tahun lalu..', apa yang kamu percaya terlihat jelas dari-",biar aku breakdown semua satu persatu cukup dengan menggunakan argumen kamu saja di komentar pertama irasionalitas bukan tanpa dasar aku bilang bahwa kamu pasti masih menggantungkan argumen kamu dengan sejarah tahun lalu apa yang kamu percaya terlihat jelas dari,biar breakdown satu argumen komentar irasionalitas dasar bilang gantung argumen sejarah percaya,negative
@Aboy1945,@makjono,"@makjono @PNS_Garis_Lucu Teruntuk admin yg baik hati @Gerindra @prabowo tolong diperhatikan ini masih ada CPNS mu di dimensi lain masih menanti spmt. Yg lain udah ngebahas mutasi, daerah satu ini masih Ngegantungin nasib CPNS dan bilang biaya CPNS membengkak jika dilantik tahun ini. Dah gilak ini",teruntuk admin yang baik hati tolong diperhatikan ini masih ada cpns mu di dimensi lain masih menanti spmt yang lain sudah ngebahas mutasi daerah satu ini masih ngegantungin nasib cpns dan bilang biaya cpns membengkak jika dilantik tahun ini deh gila ini,untuk admin hati tolong perhati cpns mu dimensi spmt ngebahas mutasi daerah ngegantungin nasib cpns bilang biaya cpns bengkak lantik gila,negative
@BagusWisnuputra,@NenkMonica,"@NenkMonica Sudah berapa korban kemanusiaan era pemerintahan Jokowi ? Dan Wanda Hamidah adalah salah satu pendukung Jokowi, kemana aja kekacauan Bangsa ini hasil 10 tahun pemerintah pembohong. Bahkan tuduhan kepada @prabowo di chat fenomenal nya terjadi semua di era JOKOWI. https://t.co/aJR9JC11nQ",sudah berapa korban kemanusiaan era pemerintahan jokowi dan wanda hamidah adalah salah satu pendukung jokowi kemana saja kekacauan bangsa ini hasil tahun pemerintah pembohong bahkan tuduhan kepada di chat fenomenal nya terjadi semua di era jokowi,korban manusia era pemerintah jokowi wanda hamidah salah dukung jokowi mana kacau bangsa hasil pemerintah bohong tuduh chat fenomenal era jokowi,negative
@dadan_sangalang,@goodnewsfromIDN,"@goodnewsfromIDN Bersama Prabowo Gibran, satu tahun penuh progres, jalan menuju masa depan terbuka lebar #1thnPrabowoGibran",bersama prabowo gibran satu tahun penuh progres jalan menuju masa depan terbuka lebar,prabowo gibran penuh progres jalan buka lebar,positive
@kristiani_hrwti,@goodnewsfromIDN,"@goodnewsfromIDN Satu tahun Prabowo-Gibran, banyak langkah maju demi Indonesia sejahtera #1thnPrabowoGibran",satu tahun prabowo gibran banyak langkah maju demi indonesia sejahtera,prabowo gibran langkah maju indonesia sejahtera,positive
@ArmaZulfikar,@Ronnie_Rusli,@Ronnie_Rusli @prabowo Sepertinya Pati TNI alumni 1999. Bakal banyak di orbitkan oleh Prabowo.!!  Teman saya alumni Akmil AL tahun 1999 sudah jadi bintang' satu kemarin prof.!!,sepertinya pati tni alumni bakal banyak di orbitkan oleh prabowo teman saya alumni akmil al tahun sudah jadi bintang satu kemarin prof,pati tni alumni orbit prabowo teman alumni akmil al bintang kemarin prof,neutral
@DMieaceh80579,@HukumDan,"@HukumDan @prabowo Sudah hampir satu Tahun Prabowo menjadi Presiden, namun sangat sulit lepas dari para Termul.",sudah hampir satu tahun prabowo menjadi presiden namun sangat sulit lepas dari para termul,prabowo presiden sulit lepas termul,neutral
@ayers_caid66545,@tempodotco,"@tempodotco Satu tahun kepemimpinan Presiden Prabowo – Gibran telah berjalan dengan berbagai capaian: penguatan ketahanan pangan, program makan bergizi untuk anak sekolah, hingga peningkatan kesejahteraan aparat negara. https://t.co/YL7aClStc9",satu tahun kepemimpinan presiden prabowo gibran telah berjalan dengan berbagai capaian penguatan ketahanan pangan program makan bergizi untuk anak sekolah hingga peningkatan kesejahteraan aparat negara,pimpin presiden prabowo gibran jalan capai kuat tahan pangan program makan gizi anak sekolah tingkat sejahtera aparat negara,positive
@Alto_xp,@antimuna45,"@antimuna45 Satu tahun kepemimpinan Presiden Prabowo – Gibran telah berjalan dengan berbagai capaian: penguatan ketahanan pangan, program makan bergizi untuk anak sekolah, hingga peningkatan kesejahteraan aparat negara. https://t.co/FUqIWvKZyF",satu tahun kepemimpinan presiden prabowo gibran telah berjalan dengan berbagai capaian penguatan ketahanan pangan program makan bergizi untuk anak sekolah hingga peningkatan kesejahteraan aparat negara,pimpin presiden prabowo gibran jalan capai kuat tahan pangan program makan gizi anak sekolah tingkat sejahtera aparat negara,positive
@Alto_xp,@ayers_caid66545,"@ayers_caid66545 Satu tahun kepemimpinan Presiden Prabowo – Gibran telah berjalan dengan berbagai capaian: penguatan ketahanan pangan, program makan bergizi untuk anak sekolah, hingga peningkatan kesejahteraan aparat negara. https://t.co/QMhoIC3Icf",satu tahun kepemimpinan presiden prabowo gibran telah berjalan dengan berbagai capaian penguatan ketahanan pangan program makan bergizi untuk anak sekolah hingga peningkatan kesejahteraan aparat negara,pimpin presiden prabowo gibran jalan capai kuat tahan pangan program makan gizi anak sekolah tingkat sejahtera aparat negara,positive
@Alto_xp,@NandaAby3,"@NandaAby3 Satu tahun kepemimpinan Presiden Prabowo – Gibran telah berjalan dengan berbagai capaian: penguatan ketahanan pangan, program makan bergizi untuk anak sekolah, hingga peningkatan kesejahteraan aparat negara. https://t.co/Tm6J1SqVjn",satu tahun kepemimpinan presiden prabowo gibran telah berjalan dengan berbagai capaian penguatan ketahanan pangan program makan bergizi untuk anak sekolah hingga peningkatan kesejahteraan aparat negara,pimpin presiden prabowo gibran jalan capai kuat tahan pangan program makan gizi anak sekolah tingkat sejahtera aparat negara,positive
@damarwidi99,@abu_waras,"@abu_waras Saru tahun pemerintahan Prabowo sudah berapa blunder mereka lakukan? Ga Wapres,ga Menteri,ga pejabat2 di KLB satu persatu bikin masalah",saru tahun pemerintahan prabowo sudah berapa blunder mereka lakukan enggak wapres enggak menteri enggak pejabat di klb satu persatu bikin masalah,saru pemerintah prabowo blunder laku wapres menteri jabat klb satu bikin,negative
@3rI4ng,@tempodotco,"@tempodotco Tahun 98 pun korban cuma 0,0000sekian persen dari penduduk Indonesia jadi masih aman Kajuaruan Km 50 Demo baru2 ini Gama cuma satu manusia yg ditembak dari 250 juta penduduk Indonesia  Jadi gak ngaruh2 amat  Kocak anda @prabowo",tahun pun korban cuma sekian persen dari penduduk indonesia jadi masih aman kajuaruan kamu demo baru ini gama cuma satu manusia yang ditembak dari juta penduduk indonesia jadi enggak ngaruh amat kocak anda,korban sekian persen duduk indonesia aman kajuaruan demo gama manusia tembak juta duduk indonesia ngaruh kocak,negative
@eddiewahjudiono,@ARSIPAJA,@ARSIPAJA Jurus menjilat @cakimiNOW ketua @DPP_PKB untuk menunjukkan ke bosnya bhw ia bekerja  Kenyataan belum ada hasil yg di banggakan menjelang satu tahun pemerintahan @prabowo,jurus menjilat ketua untuk menunjukkan ke bosnya bahwa ia bekerja kenyataan belum ada hasil yang di banggakan menjelang satu tahun pemerintahan,jurus jilat ketua bos nyata hasil bangga jelang pemerintah,negative
